question,answer,category,source
What is the Sunita vs Electronics Store case study on GST overcharge?,"In Sunita vs Electronics Store (2024), a consumer was charged 28% GST on a home appliance instead of the mandatory 18% slab rate. The District Consumer Disputes Redressal Commission ruled it as an unfair trade practice under Consumer Protection Act 2019, ordering an immediate refund of excess GST along with Rs 10000 punitive compensation.",case_study,District Consumer Commission (2024)
What is the Priya vs Finance Company case study on hidden loan prepayment penalties?,"In Priya vs Finance Company (2024), a borrower was subjected to a hidden 5% prepayment penalty buried in fine print when closing a personal loan. Following a complaint to the Banking Ombudsman and Consumer Forum, the tribunal ruled that non-transparent penalty clauses violate RBI Guidelines and Consumer Protection rights, forcing refund of penalty + Rs 15000 costs.",case_study,Banking Ombudsman & Consumer Forum (2024)
What are the court guidance rules for Consumer Court monetary jurisdiction?,Under the Consumer Protection Act 2019: (1) District Consumer Disputes Redressal Commission handles claims up to Rs 1 Crore. (2) State Consumer Disputes Redressal Commission handles claims between Rs 1 Crore and Rs 10 Crore. (3) National Consumer Disputes Redressal Commission (NCDRC) handles claims exceeding Rs 10 Crore. Complaints can be filed online via edaakhil.nic.in.,court_guidance,Consumer Protection Act 2019
What is the court guidance on filing Writ Petitions under Article 226 vs Article 32?,"Article 32 allows citizens to approach the Supreme Court directly only for enforcement of Fundamental Rights. Article 226 empowers High Courts to issue writs (Habeas Corpus, Mandamus, Certiorari, Prohibition, Quo Warranto) for fundamental rights as well as any other legal right. High Courts have wider territorial and subject-matter writ jurisdiction than the Supreme Court.",court_guidance,Constitution of India
What is court guidance on e-Filing and online court proceedings in India?,"Electronic filing (e-Filing) is enabled across Supreme Court, High Courts, and District Courts via e-filing portals (efiling.ecourts.gov.in). Litigants and advocates can upload digitally signed petitions, pay court fees online via e-Pay, track case status on the eCourts Services app, and attend virtual hearings via video conferencing platforms.",court_guidance,e-Committee Supreme Court of India
What is the court guidance on limitation periods for filing civil suits?,"Under the Limitation Act 1963: (1) Suit for breach of contract or recovery of money must be filed within 3 years from the date of cause of action. (2) Suit for possession of immovable property based on title must be filed within 12 years. (3) Appeals to High Court must be filed within 90 days. If delayed, an application for condonation of delay under Section 5 must show sufficient cause.",court_guidance,Limitation Act 1963
What is court guidance on land registration and encumbrance verification?,"Before purchasing immovable property: (1) Verify Patta / Chitta / Settlement records with the State Revenue Department. (2) Obtain an Encumbrance Certificate (EC) for 30+ years from the Sub-Registrar Office to check for existing mortgages, liens, or court attachments. (3) Verify physical survey numbers and boundary measurements against Revenue maps. (4) Ensure property transfer is registered via a public Sale Deed under Section 17 of Registration Act.",court_guidance,Revenue & Registration Department
What is BNS Section 318?,Section 318 of Bharatiya Nyaya Sanhita (BNS) 2023 replaces IPC Section 420 for cheating. Whoever cheats and thereby dishonestly induces the person deceived to deliver any property shall be punished with imprisonment up to 7 years and fine.,ipc,Bharatiya Nyaya Sanhita 2023
What is BNS Section 316?,Section 316 of BNS 2023 replaces IPC Section 406 for criminal breach of trust. It punishes anyone who dishonestly misappropriates or converts to their own use property entrusted to them with imprisonment up to 5 years or fine or both.,ipc,Bharatiya Nyaya Sanhita 2023
What is BNS Section 336?,Section 336 of BNS 2023 replaces IPC Section 468 for forgery for purpose of cheating. Forging a document or electronic record for cheating carries imprisonment up to 7 years and fine.,ipc,Bharatiya Nyaya Sanhita 2023
What is BNS Section 103?,"Section 103 of BNS 2023 replaces IPC Section 302 for punishment for murder. It prescribes punishment of death or imprisonment for life, along with fine.",ipc,Bharatiya Nyaya Sanhita 2023
What is Section 173 of BNSS?,Section 173 of Bharatiya Nagarik Suraksha Sanhita (BNSS) 2023 replaces CrPC Section 154 for First Information Report (FIR). It introduces Zero FIR and allows electronic reporting (e-FIR) for cognizable offences.,crpc,Bharatiya Nagarik Suraksha Sanhita 2023
What is Section 175 of BNSS?,Section 175 of BNSS 2023 replaces CrPC Section 156(3). It empowers a Judicial Magistrate to order a police investigation if the police fail to register an FIR upon written complaint.,crpc,Bharatiya Nagarik Suraksha Sanhita 2023
What is Section 482 of BNSS?,Section 482 of BNSS 2023 replaces CrPC Section 438 for anticipatory bail. A person apprehending arrest in a non-bailable offence may apply to the High Court or Sessions Court for direction to be released on bail in event of arrest.,crpc,Bharatiya Nagarik Suraksha Sanhita 2023
What is BSA Section 61 for electronic evidence?,"Section 61 of Bharatiya Sakshya Adhiniyam (BSA) 2023 governs the admissibility of electronic records. Electronic logs, emails, digital signatures, and mobile records are recognized as primary documentary evidence.",general_law,Bharatiya Sakshya Adhiniyam 2023
What are hidden foreclosure charges in loan documents?,"Foreclosure charges are penalties levied by banks or NBFCs when a borrower closes a loan early. Under RBI Guidelines, banks cannot levy foreclosure penalties or prepayment charges on floating-rate home loans or personal loans given to individual borrowers.",financial_law,RBI Guidelines & Banking Ombudsman
What is a lock-in period clause in agreement?,"A lock-in period clause binds parties to stay in a contract for a minimum duration (e.g., 6 months). If a party exits before the lock-in expires, they may be forced to pay rent/fees for the remainder of the lock-in period. Excessive lock-in penalties without mutual benefit can be challenged in court as oppressive.",contract_law,Indian Contract Act 1872
How to handle unfair deposit deduction by landlord?,"If a landlord wrongfully forfeits security deposit: (1) Issue a formal written legal notice demanding refund within 15 days with interest. (2) Show proof of peaceful handover and zero damage beyond normal wear & tear. (3) Approach Small Claims Civil Court or Rent Authority under State Rent Control Act. (4) If commercial lease, file for recovery suit.",tenant_law,State Rent Control Acts
What is an automatic renewal clause trap?,"An automatic renewal clause automatically extends a contract unless a written termination notice is served before a specific deadline. Courts mandate that non-transparent automatic renewals with steep price hikes require explicit prior confirmation, failing which they violate Consumer Protection Act 2019.",consumer_law,Consumer Protection Act 2019
What is the landmark Kedar Nath case study on public rights?,"In Kedar Nath vs State of Bihar (1962), the Supreme Court upheld the constitutional validity of sedition but restricted its application strictly to speech or actions that incite imminent violence or public disorder.",case_study,Supreme Court LawSum Dataset
What is the landmark Navtej Singh Johar case study?,"In Navtej Singh Johar vs Union of India (2018), the Supreme Court decriminalized consensual adult samesex relations by reading down Section 377 IPC, holding that fundamental rights under Articles 14, 15, 19, and 21 guarantee bodily autonomy and dignity.",case_study,Supreme Court ILDC Dataset
What is the landmark Puttaswamy case study on Right to Privacy?,"In Justice K.S. Puttaswamy vs Union of India (2017), a 9-judge bench of the Supreme Court unanimously declared the Right to Privacy as a fundamental right intrinsic to life and personal liberty under Article 21 of the Constitution.",case_study,Supreme Court LawSum Dataset
வாடகை ஒப்பந்தத்தில் எழும் சிக்கல்களுக்கு தீர்வு என்ன?,வாடகை ஒப்பந்த சிக்கல்களுக்கு: (1) ஒப்பந்த விதிகளை சரிபார்க்கவும். (2) 30 நாட்கள் முன்னறிவிப்புடன் சட்டப்பூர்வ நோட்டீஸ் அனுப்பவும். (3) வைப்புத் தொகை பெற மாநில வாடகை அதிகாரியிடம் (Rent Authority) அல்லது உரிமையியல் நீதிமன்றத்தில் மனு தாக்கல் செய்யலாம்.,tenant_law,Tamil Nadu Regulation of Rights and Responsibilities of Landlords and Tenants Act
நில பட்டா மற்றும் சிட்டா எவ்வாறு சரிபார்ப்பது?,"தமிழக அரசின் eservices.tn.gov.in தளத்தில் மாவட்டம், தாலுகா, கிராமம் மற்றும் பட்டா/புல எண் உள்ளிட்டு உரிமையாளர் பெயர் மற்றும் சொத்தின் பரப்பளவை சரிபார்க்கலாம். வில்லங்க சான்றிதழ் (EC) மூலம் அடமானம் அல்லது கடன் உள்ளதா என்பதை TNREGINET தளத்தில் சரிபார்க்க வேண்டும்.",property_law,Tamil Nadu Revenue Department
रेंटल एग्रीमेंट में सुरक्षा जमा राशि कैसे वापस पाएं?,यदि मकान मालिक सुरक्षा जमा राशि (Security Deposit) वापस नहीं कर रहा है: (1) 15 दिनों का कानूनी नोटिस भेजें। (2) रेंट अथॉरिटी या उपभोक्ता फोरम में शिकायत दर्ज करें। (3) संपत्ति सौंपने की रसीद और चित्रों को प्रमाण के रूप में सुरक्षित रखें।,tenant_law,Rent Control Act & Consumer Forum
कंज्यूमर कोर्ट में शिकायत कैसे दर्ज करें?,उपभोक्ता कोर्ट में शिकायत के लिए edaakhil.nic.in पर ऑनलाइन ई-फाइलिंग करें। 1 करोड़ रुपये तक के मामलों के लिए जिला उपभोक्ता आयोग (District Commission) में बिना वकील के भी शिकायत दर्ज की जा सकती है।,consumer_law,Consumer Protection Act 2019
What is Tamil Nadu Land Encroachment Act 1905?,"The Tamil Nadu Land Encroachment Act 1905 provides measures for checking unauthorized occupation of government-owned lands (poramboke, water bodies, grazing lands). Under Section 6, the Revenue Tahsildar or authorized officer can issue eviction notices and summarily evict encroachers after summary inquiry. Unauthorized occupants can also be levied penal assessment.",property_law,Tamil Nadu Land Encroachment Act 1905
What is the Tamil Nadu Patta Pass Book Act 1983?,"The Tamil Nadu Patta Pass Book Act 1983 mandates the issuance of Patta Pass Books to landholders. Under Section 3, the Tahsildar issues the Patta Pass Book containing details of landholding, survey number, extent, and tax assessment. Under Section 6, entries in the Patta Pass Book serve as prima facie evidence of title ownership in Tamil Nadu.",property_law,Tamil Nadu Patta Pass Book Act 1983
What is the Tamil Nadu Apartment Ownership Act 2022?,"The Tamil Nadu Apartment Ownership Act 2022 regulates ownership of individual apartments and undivided shares (UDS) in common areas. Key features: mandatory formation of apartment owners association, clear statutory definitions of common areas, mandatory registration of association bye-laws with the Sub-Registrar, and streamlined provisions for redevelopment of buildings older than 30 years.",property_law,Tamil Nadu Apartment Ownership Act 2022
What is the Tamil Nadu Cultivating Tenants Protection Act?,"The Tamil Nadu Cultivating Tenants Protection Act 1955 protects agricultural tenant farmers against unjust eviction by landlords. Landlords cannot evict a cultivating tenant except for non-payment of rent, doing any act destructive to the land, or willful negligence. Disputes are adjudicated by the Revenue Court (Revenue Divisional Officer).",property_law,Tamil Nadu Cultivating Tenants Protection Act 1955
What is Guideline Value in Tamil Nadu and how is it determined?,"Guideline Value in Tamil Nadu is the minimum value fixed by the State Registration Department (TNREGINET) for land and properties in each street or survey number. Stamp duty (typically 7%) and registration fees (2%) are calculated on either the guideline value or the actual sale consideration, whichever is higher. Guideline values are revised periodically by the Valuation Committee.",property_law,TN Registration Department (TNREGINET)
How to verify Patta Chitta online in Tamil Nadu?,"To verify Patta Chitta in Tamil Nadu: (1) Visit the official portal eservices.tn.gov.in. (2) Select 'View Patta & FMB / Chitta / TSLR Extract'. (3) Choose District, Taluk, and Village. (4) Enter Patta Number or Survey Number / Sub-division Number. (5) Verify owner name, total area extent, and land classification (Nanjai / Punjai / Natham / Residential).",property_law,Tamil Nadu e-Services (eservices.tn.gov.in)
What is an Encumbrance Certificate (EC) in Tamil Nadu?,"An Encumbrance Certificate (EC) issued by the Tamil Nadu Registration Department (TNREGINET - tnreginet.gov.in) provides a complete chronological record of all registered property transactions, mortgages, sales, gift deeds, court attachments, and legal claims over a property for a specified period (typically 30 years). A Nil-Encumbrance Certificate indicates a clean title without registered active charges.",property_law,TNREGINET Registration Department
What is FMB sketch in Tamil Nadu land records?,"Field Measurement Book (FMB) is an authentic survey sketch maintained by the Tamil Nadu Survey and Settlement Department. It precisely depicts the exact boundary measurements, sub-division lines, neighboring survey plot numbers, and shape of a specific land parcel. FMB is critical to verify that physical land boundaries match official revenue records.",property_law,TN Survey and Settlement Department
What is the landmark Arnesh Kumar guidelines on police arrest?,"In Arnesh Kumar vs State of Bihar (2014), the Supreme Court held that police officers cannot automatically arrest an accused in offences punishable with imprisonment up to 7 years (such as Section 498A IPC). Police must satisfy Section 41 CrPC / Section 35 BNSS conditions and issue a notice of appearance before making an arrest, to prevent arbitrary detentions.",case_study,Supreme Court of India (2014) - LawSum Dataset
What is the landmark D.K. Basu guidelines on arrestee rights?,"In D.K. Basu vs State of West Bengal (1997), the Supreme Court laid down 11 mandatory guidelines for arrest and detention to prevent custodial violence: identification badges for police officers, preparation of arrest memo signed by a witness, right of arrestee to inform a relative within 8-12 hours, medical examination every 48 hours, and right to meet a lawyer.",case_study,Supreme Court of India (1997) - LawSum Dataset
What is the landmark Lalita Kumari judgment on mandatory FIR registration?,"In Lalita Kumari vs Govt of Uttar Pradesh (2014), a 5-judge Constitution Bench of the Supreme Court ruled that registration of an FIR is mandatory under Section 154 CrPC / Section 173 BNSS if the information discloses the commission of a cognizable offence. Police cannot conduct preliminary inquiry in serious cognizable cases before registering the FIR.",case_study,Supreme Court of India (2014) - LawSum Dataset
What is the landmark Maneka Gandhi case on Article 21 personal liberty?,"In Maneka Gandhi vs Union of India (1978), the Supreme Court held that 'procedure established by law' under Article 21 must be just, fair, and reasonable, incorporating the doctrine of substantive Due Process into Indian constitutional jurisprudence. Fundamental rights under Articles 14, 19, and 21 form an interconnected golden triangle.",case_study,Supreme Court of India (1978) - LawSum Dataset
What is the landmark Kesavananda Bharati case on Basic Structure?,"In Kesavananda Bharati vs State of Kerala (1973), a 13-judge bench of the Supreme Court established the 'Basic Structure Doctrine', ruling that while Parliament has wide power to amend the Constitution under Article 368, it cannot alter or destroy the core basic structure of the Constitution (democracy, rule of law, separation of powers, judicial review).",case_study,Supreme Court of India (1973) - LawSum Dataset
What is the landmark Shayara Bano judgment on Triple Talaq?,"In Shayara Bano vs Union of India (2017), the Supreme Court held the practice of Talaq-e-Biddat (instant triple talaq) unconstitutional by a 3:2 majority, finding it arbitrary, discriminatory against Muslim women, and violative of fundamental rights under Article 14 of the Constitution.",case_study,Supreme Court of India (2017) - ILDC Dataset
What is the landmark Vineeta Sharma judgment on daughters coparcenary rights?,"In Vineeta Sharma vs Rakesh Sharma (2020), the Supreme Court affirmed that daughters have equal coparcenary rights in ancestral Hindu Undivided Family (HUF) property by birth under the Hindu Succession (Amendment) Act 2005, regardless of whether the father was alive when the amendment came into force.",case_study,Supreme Court of India (2020) - ILDC Dataset
What are hidden maintenance charges and how to challenge them?,"Hidden maintenance charges are variable costs inserted into rental or commercial agreements that increase total payouts beyond base rent without agreed caps. Under Consumer Protection Act 2019 and Contract Act Section 18, failure to itemize recurring charges upfront constitutes misrepresentation. Tenants can demand itemized audited maintenance bills or contest in Rent Tribunal / Consumer Court.",contract_law,Indian Legal Documents LuRA
What is a unilateral termination clause in contract law?,"A unilateral termination clause allows one dominant party to terminate an agreement without cause or notice while penalizing the other party for exit. Under Section 23 of the Indian Contract Act 1872, one-sided clauses resulting from unequal bargaining power that impose disproportionate burdens are unconscionable and void as opposed to public policy.",contract_law,Indian Legal Documents LuRA
What is an indemnity clause trap in commercial agreements?,"An indemnity clause trap requires one party to hold harmless and compensate the other party for any and all third-party claims, legal fees, or regulatory penalties, even when caused by the other party's own negligence. Courts enforce indemnity strictly; parties must negotiate a 'carve-out' for gross negligence, willful misconduct, and cap liability.",contract_law,Indian Legal Documents LuRA
What is a waiver of subrogation clause in insurance policies?,"A waiver of subrogation clause prevents an insurance company from suing a negligent third party to recover claim payouts. While common in commercial lease and construction contracts, policyholders must obtain explicit insurer consent before signing, otherwise the insurer may deny claim coverage for unauthorized waiver of their recovery rights.",financial_law,IRDAI Regulations & Contract Law
What are the rules for foreclosure charges by RBI for NBFCs and banks?,"Under RBI Master Circulars (2014 & 2019), banks and Non-Banking Financial Companies (NBFCs) are strictly prohibited from charging foreclosure fees or prepayment penalties on all floating rate term loans sanctioned to individual borrowers. Fixed rate loans or loans to commercial corporate entities may attract prepayment charges only if explicitly stated in loan sanction terms.",financial_law,RBI Guidelines & Banking Ombudsman
What is the Insurance Ombudsman and how to file a claim dispute?,"The Insurance Ombudsman is an independent quasi-judicial authority established under the Insurance Ombudsman Rules 2017 to resolve grievances against insurance companies (life, health, motor) up to Rs 30 Lakhs. Complaints can be filed online at ciob.co.in or by post within 1 year of rejection by insurer, without paying any court or advocate fees.",consumer_law,Insurance Ombudsman (IRDAI)
What is RERA complaint process for builder delay in property handover?,"Under Section 18 of RERA Act 2016, if a promoter fails to give possession of an apartment as per the agreement for sale, the buyer can: (1) Withdraw from the project and demand a full refund of money paid along with prescribed interest (SBI MCLR + 2%). (2) Remain in the project and claim monthly interest for every month of delay until handover. File online via the State RERA portal.",property_law,Real Estate Regulatory Authority (RERA)
What is Bharatiya Nyaya Sanhita (BNS) 2023?,"Bharatiya Nyaya Sanhita (BNS) 2023 replaced the colonial Indian Penal Code (IPC) 1860 from July 1, 2024. It consolidates substantive criminal offences into 358 sections, introduces community service as punishment for minor offences, defines organized crime and terrorism, and reorganizes sections (e.g., Section 318 for Cheating, Section 316 for Breach of Trust, Section 103 for Murder).",criminal_law,Bharatiya Nyaya Sanhita 2023
What is Bharatiya Nagarik Suraksha Sanhita (BNSS) 2023?,"Bharatiya Nagarik Suraksha Sanhita (BNSS) 2023 replaced the Code of Criminal Procedure (CrPC) 1973 from July 1, 2024. Key reforms include: statutory recognition of Zero FIR (Section 173), mandatory electronic recording of search and seizure, forensic investigation mandatory for offences punishable with 7+ years, and strict timelines for judgment delivery within 45 days of trial conclusion.",crpc,Bharatiya Nagarik Suraksha Sanhita 2023
What is Bharatiya Sakshya Adhiniyam (BSA) 2023?,"Bharatiya Sakshya Adhiniyam (BSA) 2023 replaced the Indian Evidence Act 1872 from July 1, 2024. Key provisions: electronic records, digital signatures, server logs, SMS, and messaging apps are given full primary and secondary evidentiary status under Section 61, modernizing court trials for digital evidence without requiring separate archaic certificates in all cases.",general_law,Bharatiya Sakshya Adhiniyam 2023
What is Zero FIR under BNSS Section 173?,"A Zero FIR allows any person to register a First Information Report at any police station across India, regardless of jurisdiction or where the crime took place. Under BNSS Section 173(1), the police station must register the complaint immediately under number '0', provide a free copy to the informant, and transfer the case to the competent jurisdictional police station for investigation.",crpc,Bharatiya Nagarik Suraksha Sanhita 2023
தமிழ்நாட்டில் நிலத்தின் வழிகாட்டி மதிப்பு (Guideline Value) என்றால் என்ன?,தமிழ்நாட்டில் பதிவுத் துறையால் (TNREGINET) ஒவ்வொரு தெருவிற்கும் அல்லது புல எண்ணிற்கும் நிர்ணயிக்கப்படும் குறைந்தபட்ச நில மதிப்பு 'வழிகாட்டி மதிப்பு' (Guideline Value) எனப்படும். சொத்து பத்திரப் பதிவின் போது முத்திரைத் தாள் கட்டணம் (7%) மற்றும் பதிவுக் கட்டணம் (2%) வழிகாட்டி மதிப்பு அல்லது உண்மையான விற்பனைத் தொகை இவற்றில் எது அதிகமோ அதன் அடிப்படையில் கணக்கிடப்படும்.,property_law,Tamil Nadu Registration Department (TNREGINET)
வில்லங்கச் சான்றிதழ் (EC) எவ்வாறு பார்ப்பது?,"வில்லங்கச் சான்றிதழ் (Encumbrance Certificate) பெற tnreginet.gov.in தளத்திற்குச் செல்லவும்: (1) மண்டலம், மாவட்டம், மற்றும் சார்பதிவாளர் அலுவலகத்தைத் தேர்வு செய்யவும். (2) கிராமம் மற்றும் புல எண் (Survey No) உள்ளிடவும். (3) குறிப்பிட்ட காலத்திற்கு (30 ஆண்டுகள்) சொத்தில் வங்கி அடமானம், விற்பனை, அல்லது நீதிமன்ற வழக்குகள் ஏதேனும் உள்ளதா என சரிபார்க்கலாம். வில்லங்கம் இல்லையெனில் 'Nil Encumbrance' என வரும்.",property_law,Tamil Nadu Registration Department (TNREGINET)
தமிழ்நாட்டில் வாடகை ஒப்பந்த சட்டம் 2017 என்ன கூறுகிறது?,தமிழ்நாடு நில உரிமையாளர்கள் மற்றும் வாடகைதாரர்கள் உரிமைகள் மற்றும் பொறுப்புகள் ஒழுங்குமுறைச் சட்டம் 2017-ன் படி: (1) அனைத்து வாடகை ஒப்பந்தங்களும் எழுத்துப்பூர்வமாக உருவாக்கப்பட்டு வாடகை அதிகாரியிடம் (Rent Authority) பதிவு செய்யப்பட வேண்டும். (2) அதிகபட்ச பாதுகாப்பு வைப்புத் தொகை 3 மாத வாடகைக்கு மிகாமல் இருக்க வேண்டும். (3) சரியான காரணமின்றி வாடகைதாரரை வெளியேற்ற முடியாது.,tenant_law,Tamil Nadu Landlord & Tenant Act 2017
மோசடி ஆவணத்தில் கையெழுத்திட்டால் என்ன செய்ய வேண்டும்?,மோசடியான அல்லது ஆபத்தான சட்ட ஆவணத்தில் கையெழுத்திட்டிருந்தால்: (1) உடனடியாக அருகிலுள்ள காவல் நிலையத்தில் பாரதிய நியாய சன்ஹிதா (BNS) பிரிவு 318 (ஏமாற்றுதல்) மற்றும் பிரிவு 336 (போலி ஆவணம்) கீழ் எஃப்.ஐ.ஆர் (FIR) பதிவு செய்யவும். (2) அசல் ஆவணம் மற்றும் தகவல் பரிமாற்றங்களை பாதுகாக்கவும். (3) 30 நாட்களுக்குள் சட்டப்பூர்வ நோட்டீஸ் அனுப்பி ஒப்பந்தத்தை ரத்து செய்ய நடவடிக்கை எடுக்கவும்.,general_conversation,Nyaya AI Legal Assistant (Tamil)
भारतीय न्याय संहिता 2023 में धोखाधड़ी की क्या धारा है?,"भारतीय न्याय संहिता (BNS) 2023 की धारा 318 धोखाधड़ी (Cheating) के अपराध से संबंधित है (जो पहले IPC 420 थी)। यदि कोई व्यक्ति किसी को धोखा देकर संपत्ति देने के लिए बेईमानी से प्रेरित करता है, तो उसे 7 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।",ipc,Bharatiya Nyaya Sanhita 2023
जीरो एफआईआर (Zero FIR) क्या है और इसे कैसे दर्ज कराएं?,"जीरो एफआईआर का मतलब है कि किसी भी संज्ञेय अपराध के लिए भारत के किसी भी पुलिस स्टेशन में एफआईआर दर्ज कराई जा सकती है, चाहे घटना कहीं भी हुई हो। BNSS धारा 173 के तहत पुलिस को तुरंत शून्य (0) नंबर पर शिकायत दर्ज करनी होगी और बाद में उचित अधिकार क्षेत्र वाले पुलिस स्टेशन को स्थानांतरित करना होगा।",crpc,Bharatiya Nagarik Suraksha Sanhita 2023
जमीन रजिस्ट्री से पहले कौन-कौन से दस्तावेज जांचने चाहिए?,जमीन खरीदने से पहले महत्वपूर्ण दस्तावेज: (1) मूल सेल डीड (Title Deed) और 30 साल का भार-मुक्त प्रमाण पत्र (Encumbrance Certificate - EC)। (2) राज्य राजस्व रिकॉर्ड में पटटा / खतौनी / जमाबंदी में मालिक का नाम। (3) भौतिक सर्वेक्षण संख्या (Survey/Khasra Number) और सीमाएं। (4) स्थानीय प्राधिकरण (RERA / नगर निगम) से लेआउट अनुमोदन और एनओसी।,property_law,Indian Land Registration & Revenue Rules
नौकरी के अनुबंध में गैर-प्रतिस्पर्धा खंड (Non-Compete Clause) क्या कानूनी है?,भारतीय अनुबंध अधिनियम 1872 की धारा 27 के तहत नौकरी छोड़ने के बाद कर्मचारी पर काम करने या व्यवसाय करने पर रोक लगाने वाला गैर-प्रतिस्पर्धा खंड (Non-Compete Clause) पूरी तरह से शून्य (Void) और गैर-कानूनी है। भारतीय अदालतें रोजगार समाप्ति के बाद ऐसे प्रतिबंधों को लागू नहीं करती हैं।,employment_law,Indian Contract Act 1872
